,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1000.891,0.42086204,0.42295434,0.42556432,0.42824476,0.43138873,0.43445705,0.43746041,0.44061139,0.44437284,0.4476117,0.4512525,0.45460133,0.45814925,0.46101906,0.46407208,0.46782736,0.47175173,0.47591858,0.48056884,0.48499484,0.49047759,0.49808333,0.50538827,0.51415694,0.52317858,0.53262687,0.54227392,0.5513635,0.55869026,0.562467,0.56127184,0.55921777,0.55662358,0.55195322,0.54843826,0.54385284,0.53906443,0.53357628,0.52681209,0.5203415,0.51242742,0.50426588,0.49600003,0.48727287,0.48005742,0.47468658,0.47130259,0.46934996,0.4680096,0.46878244,0.46999382
1002.819,0.43037114,0.43212314,0.43457092,0.43702516,0.43990603,0.44297075,0.44569271,0.44888329,0.45235944,0.4555074,0.4589353,0.46216723,0.46558075,0.46840856,0.47124678,0.47482986,0.47860763,0.48262678,0.48720614,0.49144294,0.49667589,0.50408143,0.51117297,0.51967084,0.52831268,0.53755127,0.54673072,0.5553971,0.56242866,0.5657482,0.56441884,0.56201307,0.55915618,0.55427612,0.55013316,0.54523374,0.54013233,0.53430438,0.52729669,0.5204288,0.51216412,0.50371538,0.49503843,0.48635127,0.47895972,0.47337868,0.46991449,0.46780976,0.4665988,0.46715024,0.46834662
1004.748,0.44059594,0.44215634,0.44414332,0.44660146,0.44934813,0.45209395,0.45480011,0.45774519,0.46110994,0.4640168,0.4673085,0.47040093,0.47351555,0.47627986,0.47911068,0.48245566,0.48603983,0.49006398,0.49450444,0.49860434,0.50366759,0.51063733,0.51732277,0.52578494,0.53401408,0.54284977,0.55152442,0.5597536,0.56655746,0.5694505,0.56780604,0.56485907,0.56171828,0.55643402,0.55218396,0.54665994,0.54123743,0.53513458,0.52767789,0.5205226,0.51215332,0.50337848,0.49487753,0.48589827,0.47831402,0.47256748,0.46903829,0.46670326,0.4654326,0.46588084,0.46717242
1006.676,0.45135904,0.45259484,0.45436182,0.45657276,0.45915283,0.46170365,0.46412871,0.46690729,0.47019274,0.4728992,0.4760023,0.47888463,0.48199835,0.48458976,0.48716928,0.49051456,0.49407703,0.49779538,0.50210624,0.50613474,0.51083659,0.51788023,0.52427457,0.53209604,0.54017658,0.54859087,0.55687402,0.5646876,0.57096936,0.5736724,0.57178024,0.56843407,0.56510668,0.55934742,0.55463566,0.54867594,0.54303793,0.53653488,0.52894079,0.521553,0.51275882,0.50407328,0.49536843,0.48615047,0.47841612,0.47264158,0.46895459,0.46665406,0.4652176,0.46559424,0.46657882
1008.605,0.46340584,0.46420264,0.46565442,0.46763606,0.46991603,0.47232835,0.47434161,0.47708419,0.48012494,0.482531,0.4854995,0.48825253,0.49117615,0.49336306,0.49595008,0.49910236,0.50256913,0.50619208,0.51022134,0.51423804,0.51880779,0.52559153,0.53155927,0.53916124,0.54672978,0.55469537,0.56270212,0.5700108,0.57592476,0.578364,0.57597364,0.57268247,0.56872878,0.56267122,0.55765806,0.55153654,0.54533313,0.53857398,0.53070459,0.5232331,0.51414922,0.50533988,0.49634093,0.48704737,0.47927492,0.47322448,0.46941069,0.46694056,0.4653652,0.46594824,0.46679352
1010.533,0.47628664,0.47672154,0.47795112,0.47956526,0.48164203,0.48388555,0.48576821,0.48792849,0.49087354,0.4930681,0.495635,0.49831013,0.50106655,0.50313096,0.50541358,0.50848026,0.51188463,0.51520898,0.51929894,0.52293994,0.52737089,0.53370723,0.53953827,0.54675004,0.55390368,0.56154677,0.56915322,0.5761382,0.58149446,0.5835588,0.58090224,0.57723447,0.57298288,0.56658472,0.56111816,0.55467264,0.54808153,0.54107938,0.53287359,0.5250046,0.51596172,0.50678718,0.49736603,0.48811307,0.48019112,0.47396858,0.47013389,0.46762336,0.4659481,0.46632144,0.46714262
1012.462,0.48923104,0.48948124,0.49042132,0.49181106,0.49348963,0.49541535,0.49690341,0.49900469,0.50151374,0.503421,0.506066,0.50841313,0.51080625,0.51280656,0.51504088,0.51771336,0.52109963,0.52437168,0.52843884,0.53193124,0.53611879,0.54218773,0.54759727,0.55452674,0.56154568,0.56860927,0.57589222,0.5824998,0.58762766,0.5895097,0.58654074,0.58235187,0.57784748,0.57102012,0.56503246,0.55832814,0.55135543,0.54386708,0.53548669,0.5272136,0.51794862,0.50851138,0.49909113,0.48957807,0.48152042,0.47529858,0.47128659,0.46860086,0.4667152,0.46689904,0.46749282
1014.39,0.50242944,0.50217184,0.50287752,0.50394646,0.50544673,0.50707865,0.50838981,0.51015259,0.51233274,0.5141018,0.516367,0.51843543,0.52063355,0.52233716,0.52428638,0.52712326,0.53011053,0.53338318,0.53718554,0.54046194,0.54469939,0.55056723,0.55575547,0.56237824,0.56897998,0.57583127,0.58286312,0.5891338,0.59402166,0.5956855,0.59222944,0.58795007,0.58294418,0.57571262,0.56924686,0.56198534,0.55484133,0.54697288,0.53823209,0.5297075,0.52013862,0.51038858,0.50086573,0.49103177,0.48264152,0.47625238,0.47183129,0.46919816,0.4672069,0.46714464,0.46799262
1016.319,0.51547534,0.51499184,0.51545382,0.51619056,0.51750583,0.51878875,0.51973581,0.52140249,0.52320744,0.524582,0.5264588,0.52827953,0.53033935,0.53193816,0.53360278,0.53622056,0.53910413,0.54225678,0.54609154,0.54919084,0.55313759,0.55881373,0.56382367,0.57034034,0.57684698,0.58339097,0.59035442,0.5964358,0.60119696,0.602476,0.59877194,0.59381927,0.58856168,0.58083172,0.57421186,0.56630584,0.55872613,0.55038948,0.54112639,0.5321441,0.52230752,0.51239828,0.50241733,0.49231207,0.48378152,0.47716008,0.47274879,0.46974396,0.4677096,0.46765464,0.46810752
1018.247,0.52688254,0.52621784,0.52636342,0.52702776,0.52808903,0.52900355,0.52984661,0.53104129,0.53276094,0.5339626,0.5356439,0.53722803,0.53918525,0.54054756,0.54205798,0.54462686,0.54750273,0.55046708,0.55417744,0.55729284,0.56110979,0.56682733,0.57180277,0.57823694,0.58448538,0.59116327,0.59791072,0.6039734,0.60851706,0.6097275,0.60538144,0.60005827,0.59427968,0.58616222,0.57901096,0.57064054,0.56257433,0.55381338,0.54403609,0.5347752,0.52449512,0.51402528,0.50390513,0.49375087,0.48478472,0.47801838,0.47339209,0.47032266,0.4679965,0.46775944,0.46800032
